,city,province_id,lat,lng
0,Airdrie,AB,51.2917,-114.0144
1,Campbell River,BC,50.0244,-125.2475
2,Barrie,ON,44.3711,-79.6769
3,Athabasca,AB,54.7197,-113.2856
4,Banff,AB,51.1781,-115.5719
5,Comox,BC,49.6733,-124.9022
6,Carleton-sur-Mer,QC,48.1,-66.1333
7,Collingwood,ON,44.5,-80.2167
8,Fernie,BC,49.5042,-115.0628
9,Calgary,AB,51.05,-114.0667
10,Canmore,AB,51.089,-115.359
11,Golden,BC,51.3019,-116.9667
12,Guelph,ON,43.55,-80.25
13,Invermere,BC,50.5083,-116.0303
14,Hamilton,ON,43.2567,-79.8692
15,Kamloops,BC,50.6761,-120.3408
16,Kelowna,BC,49.8881,-119.4956
17,Kimberley,BC,49.6697,-115.9775
18,Cochrane,AB,51.189,-114.467
19,Cochrane,ON,49.0667,-81.0167
20,Frontenac,QC,45.58,-70.83
21,Gaspé,QC,48.8333,-64.4833
22,Kenora,ON,49.7667,-94.4833
23,Drumheller,AB,51.4636,-112.7194
24,Marathon,ON,48.75,-86.3667
25,Muskoka Falls,ON,45.1264,-79.558
26,Lillooet,BC,50.6864,-121.9364
27,Niagara Falls,ON,43.06,-79.1067
28,Niagara-on-the-Lake,ON,43.2553,-79.0717
29,Nanaimo,BC,49.1642,-123.9364
30,Owen Sound,ON,44.5667,-80.9333
31,Nelson,BC,49.5,-117.2833
32,Jasper,AB,52.9013,-118.1312
33,Montréal,QC,45.5089,-73.5617
34,Mont-Royal,QC,45.5161,-73.6431
35,Mont-Tremblant,QC,46.1167,-74.6
36,Renfrew,ON,45.4717,-76.6831
37,Peachland,BC,49.7736,-119.7369
38,Medicine Hat,AB,50.0417,-110.6775
39,Penticton,BC,49.4911,-119.5886
40,Quebec City,QC,46.8139,-71.2081
41,Salmon Arm,BC,50.7022,-119.2722
42,Sicamous,BC,50.8378,-118.9703
43,Squamish,BC,49.7017,-123.1589
44,Summerland,BC,49.6006,-119.6778
45,Tofino,BC,49.1275,-125.8852
46,Ucluelet,BC,48.9358,-125.5433
47,Vancouver,BC,49.25,-123.1
48,Thunder Bay,ON,48.3822,-89.2461
49,Vernon,BC,50.267,-119.272
50,Victoria,BC,48.4283,-123.3647
53,Toronto,ON,43.7417,-79.3733
54,Whistler,BC,50.1208,-122.9544
55,Wasaga Beach,ON,44.5206,-80.0167
56,Windermere,BC,50.4856,-115.9948
57,Sudbury,ON,46.49,-81.01
59,Rivière-du-Loup,QC,47.8333,-69.5333
60,Rimouski,QC,48.45,-68.53
61,Percé,QC,48.5333,-64.2167
62,Regina,SK,50.4547,-104.6067
